Entity,Code_x,Year_x,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_x,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_x,change in depression,change in suicide,,Year_y,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_y,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_y,population,Continent_y
Afghanistan,AFG,1990,10.31850413,4039.755763,0.002971546,-0.405576922,,2017,9.1885684,4042.996929,36296111,
Africa,,1990,,,#DIV/0!,#DIV/0!,,2017,,,1244222269,
Albania,ALB,1990,3.985169898,2065.45187,0.070865564,1.044251878,,2017,5.108780608,2104.971611,2884169,
Algeria,DZA,1990,4.838862334,3582.280268,-0.141745171,-0.546926746,,2017,4.124306462,3445.182117,41389174,
American Samoa,ASM,1990,6.846650053,2844.242525,-0.030013197,-0.058479623,,2017,6.738544884,2821.194026,55617,
Andean Latin America,,1990,5.200334507,2557.506391,-0.06846113,0.134888732,,2017,5.389730469,2510.232151,,
Andorra,AND,1990,11.014175,3462.176023,-0.047104996,-1.043067372,,2017,7.912272825,3418.14286,76997,
Angola,AGO,1990,15.99665753,4165.120502,-0.062336022,-0.933146832,,2017,11.96630535,4095.0185,29816769,
Anguilla,AIA,1990,,,#DIV/0!,#DIV/0!,,2017,,,14588,
Antigua and Barbuda,ATG,1990,2.59369537,2498.317018,-0.069904937,0.080578762,,2017,2.650124496,2451.162951,95425,
Argentina,ARG,1990,9.905556977,3341.923276,0.030822648,0.263273461,,2017,10.60968195,3369.735146,43937143,
Armenia,ARM,1990,3.417877348,2532.741366,0.124802783,5.251171159,,2017,8.263799266,2618.086522,2944789,
Aruba,ABW,1990,,,#DIV/0!,#DIV/0!,,2017,,,105361,
Asia,,1990,,,#DIV/0!,#DIV/0!,,2017,,,4517860329,
Australasia,,1990,12.86979066,4096.512706,-0.047622841,-0.514435137,,2017,11.08220908,4043.839061,,
Australia,AUS,1990,12.80008223,4172.446866,-0.031320461,-0.507287624,,2017,11.04688494,4137.162467,24584619,
Austria,AUT,1990,19.84459147,3319.552635,-0.365349419,-1.612984406,,2017,11.20215699,2992.097546,8819902,
Azerbaijan,AZE,1990,3.174216934,2502.501855,-0.058657558,1.046411572,,2017,4.071032014,2462.86838,9845316,
Bahamas,BHS,1990,3.321763752,2544.95668,-0.075025911,-0.166650113,,2017,3.17229923,2493.403503,381749,
Bahrain,BHR,1990,5.67571346,4079.120004,-0.333603541,-0.945264607,,2017,4.227149676,3711.701607,1494077,
Bangladesh,BGD,1990,10.50576851,4127.370938,-0.090616885,-1.577139661,,2017,6.032121179,4026.388374,159685421,
Barbados,BRB,1990,4.842380031,2600.422851,0.020415889,-0.66397439,,2017,3.974271622,2614.757136,286229,
Belarus,BLR,1990,20.33266486,3769.216164,-0.015066609,-0.236399748,,2017,19.03487291,3753.883051,9450233,
Belgium,BEL,1990,17.60461431,3295.787726,0.494463293,-0.700425696,,2017,14.27531877,3735.79216,11419752,
Belize,BLZ,1990,6.114596984,2635.521721,0.124580077,1.040762028,,2017,7.83283388,2724.171766,375775,
Benin,BEN,1990,10.44941136,3519.639934,0.063734672,0.244015858,,2017,11.13786332,3580.20717,11175192,
Bermuda,BMU,1990,5.754124464,2940.117873,-0.353948133,-1.496949511,,2017,3.428443337,2659.14258,63040,
Bhutan,BTN,1990,8.530198482,3545.337576,-0.22720291,-1.221107931,,2017,5.717799366,3327.849602,745563,
Bolivia,BOL,1990,8.125782406,3082.181256,-0.117977481,-0.781661023,,2017,6.410848412,2984.001701,11192853,
Bonaire Sint Eustatius and Saba,BES,1990,,,#DIV/0!,#DIV/0!,,2017,,,25399,
Bosnia and Herzegovina,BIH,1990,9.988802511,2575.511588,-0.529706798,-1.16487886,,2017,6.847151393,2207.159769,3351534,
Botswana,BWA,1990,15.84118077,3735.958158,0.089371507,-1.363913511,,2017,10.00756064,3826.107975,2205076,
Brazil,BRA,1990,7.163659193,3425.703005,-0.292182064,-0.555455226,,2017,6.08930437,3155.452182,207833825,
British Virgin Islands,VGB,1990,,,#DIV/0!,#DIV/0!,,2017,,,29567,
Brunei,BRN,1990,4.448610238,2377.367913,-0.065440749,1.478908228,,2017,6.224963535,2335.362194,424481,
Bulgaria,BGR,1990,14.76611183,2652.715357,-0.333592616,-1.325681135,,2017,9.480819739,2413.785268,7102452,
Burkina Faso,BFA,1990,13.75929474,3654.937802,0.005798425,-0.147559321,,2017,13.21111045,3660.65988,19193236,
Burundi,BDI,1990,20.27244424,4171.218418,-0.467428345,-1.39856119,,2017,12.61733573,3644.787073,10827010,
Cambodia,KHM,1990,6.569302936,3135.847973,-0.121047465,-1.1416738,,2017,4.544302654,3033.359632,16009413,
Cameroon,CMR,1990,12.95014453,3592.385705,0.086730864,0.308817666,,2017,14.02993755,3676.509798,24566070,
Canada,CAN,1990,13.20676251,3730.659589,-0.106425291,-0.645451505,,2017,10.90519483,3623.459725,36732091,
Cape Verde,CPV,1990,12.62803042,3697.005032,0.188819014,1.213685775,,2017,16.76617486,3885.48254,537499,
Caribbean,,1990,12.83722861,3229.156521,-0.31657268,-0.966335071,,2017,9.48786127,2953.145583,,
Cayman Islands,CYM,1990,,,#DIV/0!,#DIV/0!,,2017,,,63382,
Central African Republic,CAF,1990,16.65117995,4188.941483,-0.014473337,0.061327523,,2017,16.92689737,4172.571933,4596023,
Central Asia,,1990,11.42211231,2911.170366,-0.090223839,0.01857286,,2017,11.47939046,2840.252985,,
Central Europe,,1990,15.8880867,2462.528745,-0.243079789,-0.987873327,,2017,11.65032409,2300.909184,,
"Central Europe, Eastern Europe, and Central Asia",,1990,20.79967036,3241.392517,-0.199645081,-0.43410298,,2017,18.36178666,3066.667938,,
Central Latin America,,1990,5.356649213,2527.45375,0.034932604,0.601008126,,2017,6.225884433,2551.292196,,
Central Sub-Saharan Africa,,1990,13.36369538,4051.023672,-0.073188945,-0.38055348,,2017,11.99058317,3970.971332,,
Chad,TCD,1990,8.541026675,3808.157106,0.018567767,1.076516108,,2017,11.02355593,3827.248529,15016761,
Channel Islands,OWID_CIS,1990,,,#DIV/0!,#DIV/0!,,2017,,,168666,
Chile,CHL,1990,23.19597083,4118.126976,-0.358871431,-2.084813964,,2017,10.13896418,3719.099883,18470435,
China,CHN,1990,20.92354023,3440.402271,-0.34859644,-2.428129958,,2017,7.206170018,3116.588035,1421021794,
Colombia,COL,1990,5.046793809,2200.605977,-0.215962321,0.351339182,,2017,5.525540639,2072.289024,48909844,
Comoros,COM,1990,10.75426378,3340.086769,-0.12118834,-0.839355053,,2017,8.317069457,3230.796285,813890,
Congo,COG,1990,17.08423512,4170.015359,-0.204647035,-0.66045323,,2017,14.03773379,3939.602414,5110701,
Cook Islands,COK,1990,,,#DIV/0!,#DIV/0!,,2017,,,17505,
Costa Rica,CRI,1990,6.381287937,2655.951266,0.104900968,0.825436288,,2017,7.803471527,2731.176468,4949955,
Cote d'Ivoire,CIV,1990,13.53288861,3264.64899,0.018636724,0.089497914,,2017,13.85990324,3281.076428,24437475,
Croatia,HRV,1990,20.37625262,2960.167923,-0.435792263,-1.693460442,,2017,11.05953062,2611.862988,4182846,
Cuba,CUB,1990,19.8368279,3909.020979,-0.73329458,-1.595991882,,2017,11.2887855,3135.075727,11339255,
Curacao,CUW,1990,,,#DIV/0!,#DIV/0!,,2017,,,161986,
Cyprus,CYP,1990,4.606578679,3147.035028,-0.078631744,0.018951625,,2017,4.63015026,3080.221678,1179685,
Czechia,CZE,1990,18.93605893,2787.001744,-0.36860662,-1.597859055,,2017,10.76662756,2509.628775,10641032,
Democratic Republic of Congo,COD,1990,12.17883477,3998.329816,-0.074015449,-0.182156695,,2017,11.57985157,3918.426508,81398765,
Denmark,DNK,1990,23.86273833,3589.057382,-0.573353525,-2.337824053,,2017,8.800279746,3033.451733,5732277,
Djibouti,DJI,1990,9.306194062,3501.182182,-0.026336534,-0.343341201,,2017,8.443490103,3476.285751,944100,
Dominica,DMA,1990,4.258767612,2528.580371,-0.021716689,0.24169447,,2017,4.536684169,2513.754025,71460,
Dominican Republic,DOM,1990,5.046349793,2825.088781,0.041143068,2.845980153,,2017,8.924038859,2856.471642,10513111,
East Asia,,1990,20.58576238,3421.982952,-0.339631283,-2.375644232,,2017,7.38156151,3108.185588,,
Eastern Europe,,1990,25.62739334,3731.203683,-0.160299865,-0.147758898,,2017,24.60499098,3569.713592,,
Eastern Sub-Saharan Africa,,1990,15.0704339,3905.791169,-0.149510178,-0.988737852,,2017,11.04724262,3748.123175,,
Ecuador,ECU,1990,5.526024735,2786.225833,0.074627016,2.471550865,,2017,9.213644563,2842.366317,16785356,
Egypt,EGY,1990,5.035531407,3099.011955,0.022356798,0.319387651,,2017,5.469768775,3117.718631,96442590,
El Salvador,SLV,1990,12.33400978,3047.109906,-0.206914626,-0.759972504,,2017,9.803162539,2876.877172,6388124,
England,,1990,8.96174646,3952.812598,-0.182583297,-0.864754874,,2017,6.869323698,3757.948858,,
Equatorial Guinea,GNQ,1990,17.69700586,4238.753174,-0.145537069,-1.750150586,,2017,9.334451063,4072.191332,1262008,
Eritrea,ERI,1990,19.95072819,3889.937617,-0.103511659,-0.786978476,,2017,15.7115139,3781.221065,3412894,
Estonia,EST,1990,26.81127284,4243.263121,-0.597621676,-1.943979536,,2017,12.73872009,3558.579296,1319389,
Eswatini,SWZ,1990,18.01635676,3699.438845,0.260568385,0.884650074,,2017,22.31966302,3959.707182,1124808,
Ethiopia,ETH,1990,19.32093546,4029.543355,-0.270380594,-1.856934612,,2017,9.633952734,3735.375567,106399926,
Europe,,1990,,,#DIV/0!,#DIV/0!,,2017,,,746596841,
Faeroe Islands,FRO,1990,,,#DIV/0!,#DIV/0!,,2017,,,48326,
Falkland Islands,FLK,1990,,,#DIV/0!,#DIV/0!,,2017,,,3074,
